"CODE","zh-tw"
"LBR_SPD_FN3","（遊戲預設為 1, 模組預設為 3）"
"LBR_TRN","出行工具選擇"
"LBR_TRN_CUS","啟用自訂出行工具選擇概率"
"LBR_TRN_WEA","財富級別"
"LBR_TRN_CAR","私家車使用概率（％）"
"LBR_TRN_BIK","自行車使用概率（％）"
"LBR_TRN_TAX","計程車使用概率（％）"
"LBR_TRN_RLO","居民： 低密度"
"LBR_TRN_RHI","居民： 高密度"
"LBR_TRN_ERL","居民： 低密度-專業化自給住宅行政專區"
"LBR_TRN_ERH","居民： 高密度-專業化自給住宅行政專區"
"LBR_TRN_CHL","孩童"
"LBR_TRN_TEN","青少年"
"LBR_TRN_YAD","青年人"
"LBR_TRN_ADL","成年人"
"LBR_TRN_SEN","老年人"
"LBR_DEF","預設"
"LBR_RTD","重置為預設值"
"LBR_RTS","還原到之前已存檔的設置"
"LBR_SAA","保存並應用"
"LBR_ZRO","全部設定為零"
"TRN_CHOICE","設定語言"
"TRN_SYS","使用系統語言"
"MES_CLS","關閉"
"MES_DSA","不再顯示"
"MES_PAGE","請參閱模組(Mod)在Steam工作坊的頁面以獲得更多資訊。"
"LBR_CON","Mod conflict detected"
"LBR_ERR_FAT","這意味著 “生命週期再平衡重製版(Lifecycle Rebalance Revisited)” 將無法正常使用，並且已關閉。"
"LBR_ERR_HAR","生命週期再平衡重製版(Lifecycle Rebalance Revisited) 無法完成因為它須要 “Harmony” 擴展文檔。"
"ERR_HAR0","“Harmony” 擴展文檔錯誤！"
"ERR_HAR1","此問題有可能包括的原因："
"ERR_HAR2","“Harmony 2” 擴展文檔模組(Mod)沒有訂閱。"
"ERR_HAR3","一些老的或壞的模組(Mod)導致 “Harmony 2” 擴展文檔模組(Mod)無法正常運轉。 "
"ERR_CON0","檢測到模組(Mod)衝突！"
"ERR_CON1","有衝突的模組(Mod)："
"LBR_ERR_CON0","生命週期再平衡重製版(Lifecycle Rebalance Revisited) 檢測到與至少一個其他模組(Mod)發生衝突。"
"LBR_ERR_CON1","這些模組(Mod)必須退訂才能讓生命週期再平衡重製版(Lifecycle Rebalance Revisited)正常運轉。"
"LBR_150_TIT","生命週期再平衡重製版(Lifecycle Rebalance Revisited)已經更新至1.5.2"
"LBR_150_NT1","現在可以通過選項面板編輯運輸選擇模式，自給住宅和標準住宅可以有不同的選擇模式"
"LBR_150_NT2","進入您的城市的市民教育水準可以被修改"
"LBR_151_NT1","針對不同的語言調整選項面板佈局"
"LBR_152_NT1","有未成年子女在家居住的單親父母將免於過早死亡，以防止孤兒家庭"
"LBR_152_NT2","改進模組(Mod)的衝突檢查和通知"
"LBR_152_NT3","改進更新通知"
"LBR_154_NT1","Change treatment of single parent death: remove orphaned children when both parents die (instead of sparing parent from death)"
"LBR_154_NT2","Add code to check for and remove building residents with invalid data"
"LBR_160_NT1","MAJOR NEW FEATURE: realistic early life ageing and progress, from early childhood to young adult (optional, customizable)"
"LBR_160_NT2","New early life ageing is matched to real-world values and stages and includes a pre-school stage of life (young children)"
"LBR_160_NT3","This option can be enabled/disabled and customized in the mod's options panel"
"LBR_160_NT4","NOTE: this option is initially enabled by default"
