"CODE","nl"
"LBR_150_NT1","Je kunt nu via opties, instellingen maken voor Tansport modus. Ook kun je nu voor eco en standaard woonwijken afzonderlijk verschillende modus instellen."
"LBR_150_NT2","Je kan nu het opleidingsniveau van immigranten aanpassen"
"LBR_151_NT1","Pas de lay-out van het optievenster aan voor vertalingen"
"LBR_152_NT1","Alleenstaande ouders met inwonende kinderen worden gespaard van vroegtijdig overlijden om wees-huishoudens te helpen voorkomen"
"LBR_152_NT2","Verbeterde controle en melding van mod-conflicten"
"LBR_152_NT3","Verbeterde updatemeldingen"
"LBR_154_NT1","Change treatment of single parent death: remove orphaned children when both parents die (instead of sparing parent from death)"
"LBR_154_NT2","Add code to check for and remove building residents with invalid data"
"LBR_160_NT1","MAJOR NEW FEATURE: realistic early life ageing and progress, from early childhood to young adult (optional, customizable)"
"LBR_160_NT2","New early life ageing is matched to real-world values and stages and includes a pre-school stage of life (young children)"
"LBR_160_NT3","This option can be enabled/disabled and customized in the mod's options panel"
"LBR_160_NT4","NOTE: this option is initially enabled by default"
